statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
61111;Consumer price index for Germany;JAHR;Year;1996;MONAT;Months;MONAT07;July;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-08;Communication;180.5;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2000;MONAT;Months;MONAT10;October;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-11;Restaurant and accommodation services;67.8;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2005;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-04;Housing, water, electricity, gas and other fuels;78.8;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2020;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-01;Food and non-alcoholic beverages;101.0;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;1995;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-12;Miscellaneous goods and services;67.0;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2000;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-03;Clothing and footwear;92.2;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2022;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-02;Alcoholic beverages and tobacco;106.5;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2018;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-02;Alcoholic beverages and tobacco;96.3;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2012;MONAT;Months;MONAT12;December;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-08;Communication;109.8;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;1993;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-02;Alcoholic beverages and tobacco;48.9;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2025;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-04;Housing, water, electricity, gas and other fuels;116.7;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2003;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-08;Communication;136.5;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2011;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-02;Alcoholic beverages and tobacco;78.4;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2009;MONAT;Months;MONAT08;August;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-06;Health;91.2;2020=100;PREIS1;Consumer price index;e
61111;Consumer price index for Germany;JAHR;Year;2022;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;CC13A2;Individual consumption by purpose, 2-digit codes;CC13-05;Furniture, lighting equipment, appliances etc.;107.3;2020=100;PREIS1;Consumer price index;e
