nSeq,frontal,smoothed_values,Wavetype
159,35016,31269.58260957416,0
160,32652,31173.34073085706,0
161,30592,31052.547696651993,0
162,28888,30960.370778603632,0
163,27636,30899.764252379617,0
164,26900,30854.331852910313,0
165,27780,30842.784385134753,0
166,29308,30898.38140349403,0
167,30696,31008.4314249605,0
168,31868,31180.54787703051,0
169,33384,31463.738058971878,0
170,35172,31850.643702383004,0
171,36892,32245.647054750614,0
172,36928,32595.107824012975,0
173,35832,32903.25033752813,0
174,35396,33185.36348828534,0
175,34541,33386.59778014726,0
176,34316,33417.11394403899,0
177,32604,33296.54294193989,0
178,29412,33090.89673984506,0
179,27716,32946.27195036735,0
180,27684,32904.76716520434,0
181,28588,32907.401886495485,0
182,28656,32885.00519164899,0
183,29084,32746.163252014732,0
184,32728,32528.993598151596,0
185,36684,32277.324623898123,0
186,37268,31989.55251330786,0
187,35648,31700.973160772086,0
188,34496,31470.282815163962,0
189,33688,31281.12536459671,0
190,32586,31113.387578554655,0
191,32604,30958.038803137806,0
192,32768,30836.396712020203,0
193,31758,30736.75438968215,0
194,29796,30655.879229701764,0
195,27996,30597.015437096943,0
196,28080,30540.921200035133,0
197,29028,30455.299557619852,0
198,30041,30343.757142410133,0
199,30464,30211.17115916728,0
200,30536,30100.111865869283,0
201,30282,30071.502239199563,0
202,29976,30149.52411979891,0
203,30088,30290.33108137975,0
204,29788,30424.640252205143,0
205,28332,30485.9486368095,0
206,26400,30509.084846813417,0
207,26928,30576.29321216354,0
208,28548,30725.798031014998,0
209,28406,30965.219692146165,0
210,29106,31285.82908912565,0
211,31448,31600.91614598477,0
212,33640,31831.598175786512,0
213,35232,31946.553999653665,0
214,36024,31998.37983430878,0
215,35804,32054.758363906847,0
216,35224,32140.636841261035,0
217,35408,32217.3886485667,0
218,34532,32240.220027016752,0
219,32388,32234.279420120216,0
220,30452,32256.555671347964,0
221,30452,32333.368193628412,0
222,30922,32495.8827087916,0
223,30468,32713.012970801534,0
224,30440,32980.417452697206,0
225,32192,33277.42736617127,0
226,36176,33579.19040350753,0
227,40628,33918.26808512205,0
228,42356,34279.01285082048,0
229,39588,34617.63096909124,0
230,35198,34895.05260424528,0
231,31388,35055.36350283972,0
232,28636,35132.99306956827,0
233,29713,35174.4027626196,0
234,31153,35210.351397479964,0
235,32372,35322.707763695464,0
236,34804,35519.58180961171,0
237,36556,35745.944621377996,0
238,35900,35976.96587047244,0
239,34712,36221.60533246248,0
240,34868,36485.691920407524,0
241,36910,36727.79475240339,0
242,38104,36934.46565608929,0
243,37896,37123.69072248611,0
244,36552,37289.360500205534,0
245,35108,37399.7226361696,0
246,33520,37434.960914180505,0
247,33800,37410.87812790991,0
248,35972,37347.10662642584,0
249,39229,37269.578847710334,0
250,41736,37192.86300790027,0
251,42440,37102.2620197669,0
252,41900,36944.67046193475,0
253,40764,36705.03292954946,0
254,38640,36413.99758626004,0
255,36536,36085.703008175165,0
256,37248,35712.68192038725,0
257,38168,35256.59490792815,0
258,37389,34770.17478795024,0
259,35080,34290.41098562506,0
260,31768,33789.84622232983,0
261,29072,33275.62774823263,0
262,29670,32771.01054638834,0
263,32712,32322.469372638865,0
264,34320,31960.196827829284,0
265,32380,31685.790521690666,0
266,29242,31424.1918147307,0
267,27840,31077.760578313373,0
268,29136,30690.71253815659,0
269,30396,30315.78543750235,0
270,30320,29931.795008956356,0
271,30114,29528.904416254285,0
272,29294,29185.442291440842,0
273,28800,28930.97279197934,0
274,27104,28724.31843650247,0
275,26701,28527.595651846423,0
276,27356,28372.322077456578,0
277,27576,28337.923930666526,0
278,26721,28479.650187210907,0
279,24532,28798.078018576798,0
280,23556,29199.0007427449,0
281,26725,29599.069050433962,0
282,30756,29946.12900093642,0
283,32580,30211.70270218876,0
284,32748,30452.39614570927,0
285,32204,30669.496788044715,0
286,32982,30867.30744986495,0
287,34444,31106.518399899316,0
288,34940,31404.565574116423,0
289,34637,31719.180600657826,0
290,33352,32031.708874490476,0
291,32656,32338.21136249828,0
292,33548,32655.54085746813,0
293,34360,32945.21211701982,0
294,34376,33184.974664004716,0
295,34100,33364.29890100872,0
296,33652,33457.155671407134,0
297,33632,33454.0935187444,0
298,33732,33384.76388964077,0
299,33060,33304.89310080755,0
300,30988,33258.23635004138,0
301,28704,33227.22741082817,0
302,28525,33194.07615309432,0
303,29796,33127.61085190646,0
304,31220,32971.92936045551,0
305,32524,32635.545854238495,0
306,33084,32120.732100191148,0
307,34224,31592.646827260807,0
308,34964,31174.082485401228,0
309,35280,30861.125578390496,0
310,34840,30617.80908492222,0
311,34224,30417.55926059698,0
312,34452,30255.609581145876,0
313,33126,30196.510722240626,0
314,29825,30266.279517244217,0
315,24900,30427.64998558738,0
316,21770,30595.546997490597,0
317,23792,30704.4803248824,0
318,27104,30823.250206661312,0
319,28908,31030.267887310572,0
320,31008,31330.259333058304,0
321,33812,31684.53434200228,0
322,34772,32074.60322077719,0
323,34220,32419.141522838905,0
324,33464,32760.00230064601,0
325,33816,33129.54173256685,0
326,34348,33546.21697564431,0
327,34476,33998.276706581026,0
328,34596,34418.363272805844,0
329,33712,34785.61535163782,0
330,32488,35041.19898412325,0
331,31632,35174.860582919675,0
332,31581,35293.77560788549,0
333,32012,35465.41552825128,0
334,32940,35624.20521674687,0
335,34728,35651.68765782352,0
336,36904,35522.96529221973,0
337,38430,35335.67827720719,0
338,39268,35141.476207677566,0
339,39352,34944.98701833311,0
340,38203,34745.57216001587,0
341,36944,34531.311177448115,0
342,36372,34316.23431327685,0
343,37436,34133.8700501722,0
344,38844,34013.08676125342,0
345,39416,33936.23421418556,0
346,40237,33868.85283143408,0
347,40032,33780.77421672905,0
348,38856,33686.710350766094,0
349,36056,33595.24796302097,0
350,31980,33499.89829093344,0
351,28260,33372.096803053195,0
352,23836,33190.21753388032,0
353,19488,32977.32994180412,0
354,17500,32766.298504102786,0
355,20568,32545.466046457175,0
356,26600,32295.509507777297,0
357,31208,32029.533940669695,0
358,32884,31761.10833085713,0
359,34128,31564.038170773892,0
360,35520,31508.527840959166,0
361,36000,31573.201667578836,0
362,35192,31722.13445835233,0
363,32784,31931.381994114232,0
364,31386,32157.001537523625,0
365,31416,32336.520526520475,0
366,32484,32404.639878387454,0
367,35228,32400.614132816798,0
368,35976,32424.604966442672,0
369,35308,32489.839410897774,0
370,34297,32550.47910894493,0
371,33516,32634.304389219764,0
372,33188,32812.35314956669,0
373,36564,33090.45473311685,0
374,39344,33439.27008974436,0
375,38852,33802.62066750894,0
376,36908,34157.695910976305,0
377,35104,34491.232630770006,0
378,35481,34799.11747825631,0
379,35302,35091.66455283801,0
380,35093,35343.31953814201,0
381,34864,35524.33303154168,0
382,33085,35661.57811680627,0
383,29040,35777.077701066235,0
384,25720,35821.74950520738,0
385,26896,35770.473623807426,0
386,30201,35650.65787696146,0
387,31952,35503.994195731146,0
388,33464,35349.35840924552,0
389,35084,35169.18586132878,0
390,36696,34957.47934955483,0
391,37892,34709.662545275554,0
392,38508,34435.021142687445,0
393,38977,34170.49151253985,0
394,37948,33965.289637268004,0
395,36332,33844.222533321445,0
396,35408,33800.06500182812,0
397,35590,33849.22314046569,0
398,35808,33951.55602841179,0
399,36256,34132.474599525725,0
400,36581,34416.17785752068,0
401,36316,34738.5373471623,0
402,35400,35032.71367653627,0
403,34224,35214.95123372911,0
404,32468,35203.93348828959,0
405,31622,34972.15432830331,0
406,32708,34673.687877027485,0
407,33948,34463.10122657297,0
408,37021,34373.531652408725,0
409,38044,34344.972280136135,0
410,35524,34341.93367784469,0
411,32201,34331.10108877151,0
412,29368,34308.28773600188,0
